#node,latitude,longitude,P amount,P-limit,P limit modified,P excess,DE compare,indicator,log10(indicator)
n282,43.2772,-89.4723,0.263022313,0.263022313,0.263022313,0.0,0.0,1.0,0.0
n283,43.2696,-89.2998,1.027999437,1.027999437,1.027999437,0.0,0.0,1.0,0.0
n284,43.2744,-89.4295,0.254641811,0.254641811,0.254641811,0.0,0.0,1.0,0.0
n285,43.2738,-89.4055,0.142818498,0.142818498,0.142818498,0.0,0.0,1.0,0.0
n286,43.2739,-89.3939,0.452695583,0.452695583,0.452695583,0.0,0.0,1.0,0.0
n287,43.2729,-89.3895,0.392964423,0.392964423,0.392964423,0.0,0.0,1.0,0.0
n288,43.2734,-89.3841,0.352096409,0.352096409,0.352096409,0.0,0.0,1.0,0.0
n289,43.2724,-89.3601,0.657037079,0.657037079,0.657037079,0.0,0.0,1.0,0.0
n290,43.2747,-89.4491,0.113173613,0.113173613,0.113173613,0.0,0.0,1.0,0.0
n291,43.2742,-89.4242,0.200676773,0.200676773,0.200676773,0.0,0.0,1.0,0.0
n292,43.2698,-89.3272,0.490421876,0.490421876,0.490421876,0.0,0.0,1.0,0.0
n293,43.2751,-89.4567,0.15163362,0.15163362,0.15163362,0.0,0.0,1.0,0.0
n294,43.2723,-89.3129,4.765877775,4.765877775,4.765877775,0.0,0.0,1.0,0.0
n295,43.275,-89.4747,0.09157121,0.09157121,0.09157121,0.0,0.0,1.0,0.0
n296,43.2658,-89.272,0.243585885,0.243585885,0.243585885,0.0,0.0,1.0,0.0
n297,43.2722,-89.3769,1.053147533,1.053147533,1.053147533,0.0,0.0,1.0,0.0
n298,43.273,-89.4492,0.105209627,0.105209627,0.105209627,0.0,0.0,1.0,0.0
n299,43.2715,-89.3671,1.420958227,1.420958227,1.420958227,0.0,0.0,1.0,0.0
n300,43.2653,-89.3023,0.106887599,0.106887599,0.106887599,0.0,0.0,1.0,0.0
n301,43.2723,-89.4296,0.186898128,0.186898128,0.186898128,0.0,0.0,1.0,0.0
n302,43.2657,-89.297,0.160451145,0.160451145,0.160451145,0.0,0.0,1.0,0.0
n303,43.2733,-89.4152,1.424108435,1.424108435,1.424108435,0.0,0.0,1.0,0.0
n304,43.2684,-89.3588,0.477847882,0.477847882,0.477847882,0.0,0.0,1.0,0.0
n305,43.2642,-89.2602,0.977706263,0.977706263,0.977706263,0.0,0.0,1.0,0.0
n306,43.2731,-89.4567,0.383820062,0.383820062,0.383820062,0.0,0.0,1.0,0.0
n307,43.27,-89.388,0.679046231,0.679046231,0.679046231,0.0,0.0,1.0,0.0
n308,43.2671,-89.3319,0.264074085,0.264074085,0.264074085,0.0,0.0,1.0,0.0
n309,43.2743,-89.4668,0.808552768,0.808552768,0.808552768,0.0,0.0,1.0,0.0
n310,43.2704,-89.4095,0.229902444,0.229902444,0.229902444,0.0,0.0,1.0,0.0
n311,43.2651,-89.2918,0.0,0,1.0,0.0,0.0,1.0,0.0
n312,43.2731,-89.4748,0.124692825,0.124692825,0.124692825,0.0,0.0,1.0,0.0
n313,43.2734,-89.4365,0.338532534,0.338532534,0.338532534,0.0,0.0,1.0,0.0
n314,43.2707,-89.424,0.185091257,0.185091257,0.185091257,0.0,0.0,1.0,0.0
