Market player,Profit (million $ /year),If involved?
d377,0.0,No
d378,0.0,No
d379,110.08023004678202,Yes
d380,0.0,No
d381,0.0,No
d382,0.0,No
d383,0.0,No
d384,0.0,No
d385,0.0,No
d386,0.0,No
d387,0.0,No
d388,0.0,No
d389,0.0,No
d390,0.0,No
d391,0.0,No
d392,280.16086826261073,Yes
d393,0.0,No
d394,0.0,No
d395,0.0,No
d396,0.0,No
d397,0.0,No
d398,0.0,No
d399,296.2397235349404,Yes
d400,0.0,No
d401,0.0,No
d402,0.0,No
d403,0.0,No
d404,0.0,No
d405,0.0,No
d406,0.0,No
d407,0.0,No
d408,0.0,No
d409,54.048811803374285,Yes
d410,439.0726973290717,Yes
d411,0.0,No
d412,0.0,No
d413,0.0,No
d414,297.038427979786,Yes
d415,58.950644813317226,Yes
d416,0.0,No
d417,0.0,No
d418,0.0,No
d419,0.0,No
d420,0.0,No
d421,0.0,No
d422,0.0,No
d423,0.0,No
d424,75.92865385135379,Yes
d425,0.0,No
d426,0.0,No
d427,0.0,No
d428,6.350357607400008,Yes
d429,0.0,No
d430,381.511577987954,Yes
d431,107.10536248148084,Yes
d432,0.0,No
d433,0.0,No
d434,0.0,No
d435,0.0,No
d436,0.0,No
d437,0.0,No
d438,0.0,No
d439,158.55734639936784,Yes
d440,-0.0,No
d441,0.0,No
d442,0.0,No
d443,0.0,No
d444,0.0,No
d445,0.0,No
d446,0.0,No
d447,0.0,No
d448,0.0,No
d449,0.0,No
d450,0.0,No
d451,7929.502585130758,Yes
d452,0.0,No
d453,0.0,No
d454,0.0,No
d455,343.29204413168225,Yes
d456,0.0,No
d457,0.0,No
d458,0.0,No
d459,0.0,No
d460,0.0,No
d461,0.0,No
d462,0.0,No
d463,0.0,No
d464,0.0,No
d465,0.0,No
d466,302.51641187481925,Yes
d467,0.0,No
d468,0.0,No
d469,0.0,No
d470,0.0,No
d471,376.1244398081026,Yes
d472,0.0,No
d473,0.0,Yes
d474,0.0,No
d475,0.0,No
d476,0.0,No
d477,0.0,No
d478,0.0,No
d479,0.0,No
d480,0.0,No
d481,0.0,No
d482,0.0,No
d483,0.0,No
d484,0.0,No
d485,0.0,No
d486,0.0,No
d487,0.0,No
d488,0.0,No
d489,0.0,No
d490,0.0,No
d491,0.0,No
d492,0.0,No
d493,0.0,No
d494,0.0,No
d495,0.0,No
d496,0.0,No
d497,0.0,No
d498,0.0,No
d499,0.0,No
d500,0.0,No
d501,0.0,No
d502,0.0,No
d503,0.0,No
d504,0.0,No
d505,0.0,No
d506,0.0,No
d507,0.0,No
d508,0.0,No
d509,0.0,No
d510,0.0,No
d511,0.0,No
d512,0.0,No
d513,509.97818600962415,Yes
d514,0.0,No
d515,0.0,No
d516,0.0,No
d517,245.20083186874558,Yes
d518,0.0,No
d519,0.0,No
d520,0.0,No
d521,0.0,No
d522,0.0,No
d523,0.0,No
d524,0.0,No
d525,0.0,No
d526,0.0,No
d527,0.0,No
d528,0.0,No
d529,555.3096924130951,Yes
d530,0.0,No
d531,0.0,No
d532,0.0,No
d533,0.0,No
d534,0.0,No
d535,0.0,No
d536,93.30729106036256,Yes
d537,0.0,No
d538,0.0,No
d539,0.0,No
d540,0.0,No
d541,0.0,No
d542,0.0,No
d543,227.29772905903687,Yes
d544,0.0,No
d545,401.19037582386403,Yes
d546,107.83785103193279,Yes
d547,93.16063390054175,Yes
d548,0.0,No
d549,0.0,No
d550,0.0,No
d551,0.0,No
d552,0.0,No
d553,0.0,No
d554,0.0,No
d555,393.6482976041146,Yes
d556,0.0,No
d557,107.34414713036476,Yes
d558,0.0,No
d559,0.0,No
d560,0.0,No
d561,0.0,No
d562,0.0,No
d563,0.0,No
d564,0.0,No
d565,0.0,No
d566,0.0,No
d567,0.0,No
d568,0.0,No
d569,0.0,No
d570,0.0,No
d571,0.0,No
d572,0.0,No
d573,0.0,No
d574,0.0,No
d575,0.0,No
d576,0.0,No
d577,0.0,No
d578,0.0,No
d579,0.0,No
d580,0.0,No
d581,0.0,No
d582,0.0,No
d583,0.0,No
d584,173.21459071495153,Yes
d585,0.0,No
d586,0.0,No
d587,0.0,No
d588,0.0,No
d589,0.0,No
d590,0.0,No
d591,0.0,No
d592,0.0,No
d593,14.064896108752157,Yes
d594,0.0,No
d595,0.0,No
d596,0.0,No
d597,0.0,No
d598,0.0,No
d599,0.0,No
d600,0.0,No
d601,0.0,No
d602,0.0,No
d603,0.0,No
d604,0.0,No
d605,0.0,No
d606,0.0,No
d607,0.0,No
d608,0.0,No
d609,0.0,No
d610,0.0,No
d611,0.0,No
d612,0.0,No
d613,0.0,No
d614,0.0,No
d615,0.0,No
d616,0.0,No
d617,0.0,No
d618,0.0,No
d619,0.0,No
d620,0.0,No
d621,0.0,No
d622,0.0,No
d623,0.0,Yes
d624,595.7962794415735,Yes
d625,0.0,No
d626,0.0,No
d627,0.0,No
d628,0.0,No
d629,0.0,No
d630,0.0,No
d631,0.0,No
d632,0.0,No
d633,0.0,No
d634,0.0,No
d635,0.0,No
d636,0.0,No
d637,0.0,No
d638,0.0,No
d639,0.0,No
d640,0.0,No
d641,0.0,No
d642,0.0,No
d643,0.0,No
d644,0.0,No
d645,0.0,No
d646,0.0,No
d647,0.0,No
d648,0.0,No
d649,0.0,No
d650,0.0,No
d651,0.0,No
d652,0.0,No
d653,0.0,No
d654,0.0,No
d655,0.0,No
d656,6.910235846381634,Yes
d657,0.0,No
d658,181.05063402137975,Yes
d659,0.0,No
d660,0.0,No
d661,173.1754817885071,Yes
d662,0.0,No
d663,0.0,No
d664,0.0,No
d665,0.0,No
d666,0.0,No
d667,0.0,No
d668,0.0,No
d669,0.0,No
d670,0.0,Yes
d671,0.0,No
d672,0.0,No
d673,0.0,No
d674,0.0,No
d675,0.0,No
d676,0.0,No
d677,9.345809086488128,Yes
d678,0.0,No
d679,0.0,No
d680,0.0,No
d681,0.0,No
d682,0.0,No
d683,0.0,No
d684,0.0,No
d685,0.0,No
d686,0.0,No
d687,0.0,No
d688,0.0,No
d689,0.0,No
d690,0.0,No
d691,0.0,No
d692,182.36417916068135,Yes
d693,314.9192682004961,Yes
d694,0.0,No
d695,0.0,No
d696,0.0,No
d697,0.0,No
d698,0.0,No
d699,0.0,No
d700,0.0,No
d701,0.0,No
d702,0.0,No
d703,0.0,No
d704,0.0,No
d705,0.0,No
d706,0.0,No
d707,0.0,No
d708,0.0,No
d709,0.0,No
d710,0.0,No
