#day,Chlorella,Rhodomonas,Oocystis,Microcystis,Planktothrix,Asterionella,Anabaena,Ceratium,
105,1.03028309410412,0.015220187537885505,2.96556843730669e-5,1.691781244825018e-10,0.16022296233520145,0.001878523419947329,0.00024386354716610136,4.6052539272675606e-8,
106,2.352695742154665,0.028220988044360344,2.9379476902954496e-5,1.86980105169029e-10,0.30080682211391163,0.0018240913891665492,0.00040833968552340873,6.586305275753203e-8,
107,1.3825627223434218,0.04815821889535645,2.9075607375902528e-5,1.981514703360957e-10,0.46163719952690974,0.0017690127010650488,0.0005593429405295088,9.048810047037194e-8,
108,2.998771581117482,0.07017733648083739,2.8796904719978154e-5,2.0055480698553391e-10,0.6017404858949413,0.0017144195859598375,0.0006683573864628012,1.0838787225184977e-7,
109,0.8118976824447837,0.07630600958182207,2.845663752534482e-5,1.770352723031357e-10,0.7094689059410481,0.0016610567253915014,0.0007365289371504147,1.1967330959829396e-7,
110,1.76668447028285,0.09449813633969295,2.8205773094420023e-5,1.6403561442664262e-10,0.9474219153522567,0.0016129178743752276,0.000913702786715835,1.2529722851961905e-7,
111,0.6708280351898885,0.06918512867057247,2.7974657895154123e-5,1.4997079424987847e-10,1.0383908718759884,0.0015683345126051701,0.0009575049715532402,1.1129666319512523e-7,
112,1.5454026416005828,0.05752760354527561,2.7650501373426216e-5,1.460629629866514e-10,0.9616073180312574,0.0015189806978340664,0.0008452074287734117,8.30926285937927e-8,
113,0.9886553793582448,0.056655717321709674,2.7372001052187913e-5,1.4405559864365485e-10,0.9863989013973633,0.0014728856501101805,0.0008032821085839575,7.915457967928447e-8,
114,2.231833221730749,0.06572435783824025,2.710691026560656e-5,1.45162061016098e-10,1.2262582555132837,0.0014270599624393464,0.0009291646663402459,7.785527526991984e-8,
115,0.7798988361192549,0.053019297201053105,2.682570013179259e-5,1.41176983360262e-10,1.3215327804264385,0.001382238241338001,0.0009457457791761737,6.712061973529365e-8,
116,1.7730327926998921,0.04153748132111346,2.660936020923301e-5,1.4193144996999195e-10,1.1467625152184462,0.001338635904148677,0.0007817733848322824,4.712217770253452e-8,
117,0.4867534179892323,0.04114959839841876,2.6340128188865357e-5,1.4150911180605762e-10,1.1601551118082656,0.0012980536999078957,0.0007377811232713347,4.4571173397878594e-8,
118,0.9236598880206603,0.035497661346876215,2.6145741462886143e-5,1.4608515718548706e-10,1.1074738836876632,0.0012576927281583987,0.0006707458625073054,3.446677623242235e-8,
119,1.8164390384631155,0.03161292017649828,2.595206601284623e-5,1.484756646050681e-10,0.9328889733071796,0.0012180675216954947,0.0005408847214134643,2.7856088132725913e-8,
120,0.7948515482547118,0.027781384664174544,2.5652167417707096e-5,1.4950130534276278e-10,0.8413147517655596,0.001179495235515705,0.0004633327464906284,2.3918581019060977e-8,
121,1.9839506325865026,0.029157344365788727,2.546948770569347e-5,1.5498994819909216e-10,0.8175719418100302,0.0011420546159455725,0.0004238114998595572,2.193490612963136e-8,
