,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n66,-2.326228880962443,-3.9228131847146814,-3.089358184714682,-0.0,-0.0,-0.0,-0.0,797.9092881924305,-1.5250881386454758,-3.2172303955647497,-2.5395253955647497,-4.301986789828106,-7.569451819799874,-5.475359723998449,97.90928819243047,97.90928819243047,97.90928819243047,-0.0,-0.0,-0.0,
n67,-2.2996606147347087,-3.9211189695270448,-3.087663969527045,-0.0,-0.0,-0.0,-0.0,797.8434607353317,-1.5152157772939656,-3.207193969527045,-2.529488969527045,-4.296721530440634,-7.63527927689854,-5.541187181097115,97.8434607353318,97.8434607353318,97.8434607353318,-0.0,-0.0,-0.0,
n68,-2.308396935684695,-3.925871344021144,-3.092416344021144,-0.0,-0.0,-0.0,-0.0,797.3765669477598,-1.7994360235527902,-3.1912238535087973,-2.5224079131571733,-4.3528860585452485,-7.807759036671985,-5.804186888811787,97.3765669477598,97.3765669477598,97.3765669477598,-0.0,-0.0,-0.0,
n69,-2.5552198921603715,-3.8710595810193933,-3.0376045810193935,-0.0,-0.0,-0.0,-0.0,798.0416794521582,-1.6615660108162154,-2.9871066313742216,-2.31877861728982,-4.251491850471084,-7.431255824543449,-5.3371637287420235,98.04167945215822,98.04167945215822,98.04167945215822,-0.0,-0.0,-0.0,
n70,-2.5502237321737025,-3.8161831316289354,-3.001954901694764,-0.0,-0.0,-0.0,-0.0,798.1103339705335,-1.675096775972192,-2.8757106707930227,-2.2887156078627737,-4.2354582454433265,-7.366082357495554,-5.271990261694128,98.11033397053347,98.11033397053347,98.11033397053347,-0.0,-0.0,-0.0,
n71,-2.356455541106844,-3.849810650533105,-3.016355650533106,-0.0,-0.0,-0.0,-0.0,798.2325130851352,-1.555200318724522,-3.1751424937304105,-2.4974374937304105,-4.193234647091294,-7.246226927095087,-5.152134831293662,98.23251308513525,98.23251308513525,98.23251308513525,-0.0,-0.0,-0.0,
n72,-2.364607532331809,-3.7658466645566775,-2.970727634578934,-0.0,-0.0,-0.0,-0.0,798.5009326376069,-1.755825806672722,-3.1139677423222016,-2.479335069342718,-3.974213406769446,-6.977807374623526,-4.883715278822101,98.50093263760681,98.50093263760681,98.50093263760681,-0.0,-0.0,-0.0,
n73,-2.4483635462351505,-3.821326694677329,-2.99216039327616,-0.0,-0.0,-0.0,-0.0,798.3997091760169,-1.665834448308128,-3.1686147951318855,-2.4909097951318855,-4.006504319256671,-7.040029504892921,-4.984938740411975,98.39970917601694,98.39970917601694,98.39970917601694,-0.0,-0.0,-0.0,
n74,-2.467917655651289,-3.710214408475888,-2.926166504279453,-0.0,-0.0,-0.0,-0.0,798.2093420659384,-1.7086500734823802,-2.7819034488665215,-2.2108288346179887,-4.148908007287317,-7.1976708668381795,-5.166901887936193,98.20934206593837,98.20934206593837,98.20934206593837,-0.0,-0.0,-0.0,
n75,-2.207780836563277,-3.885469993712357,-3.0676117528364517,-0.0,-0.0,-0.0,-0.0,797.8887202035246,-1.6379049089581716,-2.940429103097574,-2.3033479709907994,-4.278684914737395,-7.537424664853287,-5.4491026647043,97.88872020352454,97.88872020352454,97.88872020352454,-0.0,-0.0,-0.0,
n76,-2.230383628283757,-3.77066336228921,-2.9729993409584705,-0.0,-0.0,-0.0,-0.0,797.903367193185,-1.7916497927720914,-2.8825905040791353,-2.270078065358663,-4.28907857982319,-7.395691873252627,-5.409005274392119,97.90336719318496,97.90336719318496,97.90336719318496,-0.0,-0.0,-0.0,
n77,-2.2300687271254827,-3.832935174279367,-3.009468218338061,-0.0,-0.0,-0.0,-0.0,797.7851403988664,-1.8647599357116893,-3.128998218338061,-2.451293218338061,-4.332288610934612,-7.466252471346608,-5.5395505169932155,97.78514039886635,97.78514039886635,97.78514039886635,-0.0,-0.0,-0.0,
n78,-2.151625771886628,-3.792290026952938,-2.9815024182470715,-0.0,-0.0,-0.0,-0.0,797.9850997455517,-1.8342221389902533,-2.87688401833766,-2.249778044632602,-4.190470818302226,-7.243224581760054,-5.391961947502032,97.98509974555168,97.98509974555168,97.98509974555168,-0.0,-0.0,-0.0,
n79,-2.297490737478606,-3.739547206525655,-2.9716174996534894,-0.0,-0.0,-0.0,-0.0,798.2125560326708,-1.72052317867623,-3.0143088225124335,-2.3524180273357977,-4.081310564536189,-7.00237047634096,-5.131495551980781,98.21255603267088,98.21255603267088,98.21255603267088,-0.0,-0.0,-0.0,
