,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n49,-16.2955233638855,-24.126427350330342,-18.81649535006098,-0.0,-0.0,-0.0,-0.0,796.1875095326121,-13.098931959268805,-19.428703202357436,-15.211180400850042,-17.27789913041616,-17.34855216372621,-12.787782520912138,96.18750953261207,96.18750953261207,96.18750953261207,-0.0,-0.0,-0.0,
n50,-16.066530483016656,-23.778445923038106,-18.558116960107753,-0.0,-0.0,-0.0,-0.0,796.1167438145848,-12.961714913453715,-19.28946374586849,-14.936026018691933,-17.199595452304866,-17.294769426900572,-12.718629876591233,96.11674381458477,96.11674381458477,96.11674381458477,-0.0,-0.0,-0.0,
n51,-16.168300632060003,-23.68958401524381,-18.485197049996103,-0.0,-0.0,-0.0,-0.0,796.045613357345,-12.917886499682231,-19.216748403166044,-14.85157981937683,-17.269904561319862,-17.256046843347892,-12.645172203676632,96.04561335734506,96.04561335734506,96.04561335734506,-0.0,-0.0,-0.0,
n52,-16.060448295958214,-23.663311726201044,-18.59425438109861,-0.0,-0.0,-0.0,-0.0,796.3793632497446,-12.76362556131833,-19.11913273143216,-14.856425636237622,-17.16192060670849,-17.326860936328753,-12.716027126991722,96.37936324974461,96.37936324974461,96.37936324974461,-0.0,-0.0,-0.0,
n53,-15.395602011439966,-24.2796730934183,-18.938700272116435,-0.0,-0.0,-0.0,-0.0,796.6559715203509,-13.223280573278146,-19.73227376519866,-15.33635788473146,-17.200564543518006,-17.30646262430563,-12.70081242111099,96.65597152035099,96.65597152035099,96.65597152035099,-0.0,-0.0,-0.0,
n54,-15.401326728119841,-24.219098503270356,-18.913065491259864,-0.0,-0.0,-0.0,-0.0,796.7409525862626,-13.169434962990644,-19.660917696902278,-15.195296239012622,-17.224072519194955,-17.355248516774818,-12.671757707127858,96.74095258626255,96.74095258626255,96.74095258626255,-0.0,-0.0,-0.0,
n55,-15.740531053040169,-23.829829708370962,-18.623384988107127,-0.0,-0.0,-0.0,-0.0,797.0983228999276,-12.838452316715578,-19.361564472987695,-15.071518246145317,-17.203228590598187,-17.309237608941245,-12.68214660593255,97.0983228999275,97.0983228999275,97.0983228999275,-0.0,-0.0,-0.0,
n56,-17.21722000396533,-24.17086379607854,-18.935263429527236,-0.0,-0.0,-0.0,-0.0,797.130792149065,-16.30718654997061,-24.394463060302506,-19.07421483815494,-16.62474567853314,-16.084197930096593,-11.527842104704213,97.13079214906496,97.13079214906496,97.13079214906496,-0.0,-0.0,-0.0,
n57,-17.456675423319506,-23.920142492727273,-18.68454212617597,-0.0,-0.0,-0.0,-0.0,797.2621425738298,-16.390517083315554,-24.645184048577022,-19.324936141506207,-16.503934032929866,-15.98733894827333,-11.43687392456151,97.2621425738298,97.2621425738298,97.2621425738298,-0.0,-0.0,-0.0,
n58,-17.330256244825748,-24.20934209712869,-18.973741730577387,-0.0,-0.0,-0.0,-0.0,797.2289783324758,-16.433021851620083,-24.357493181226218,-19.03573653710479,-16.573989421172065,-16.11364326450169,-11.534081188058629,97.22897833247572,97.22897833247572,97.22897833247572,-0.0,-0.0,-0.0,
n59,-17.36937655043312,-23.931581800915612,-18.712507421065983,-0.0,-0.0,-0.0,-0.0,797.2487479330243,-16.520827464617103,-24.66765646480455,-19.36597630763384,-16.539472708293726,-15.909476521141027,-11.359011497429208,97.24874793302435,97.24874793302435,97.24874793302435,-0.0,-0.0,-0.0,
n60,-17.444678049517023,-23.578390935290606,-19.521588553542113,-0.0,-0.0,-0.0,-0.0,796.6636424155258,-15.723641530341276,-23.48587081232178,-18.265799389899538,-16.693381555553927,-16.415537824266888,-11.847619882436263,96.6636424155258,96.6636424155258,96.6636424155258,-0.0,-0.0,-0.0,
n61,-17.48456707535205,-23.531723111005842,-19.54387737599623,-0.0,-0.0,-0.0,-0.0,796.6373555061879,-15.675234838128,-23.43301280247065,-18.210126950605147,-16.721572494141196,-16.443728762854157,-11.844344184225944,96.63735550618787,96.63735550618787,96.63735550618787,-0.0,-0.0,-0.0,
n62,-17.340358942497993,-23.562918722532054,-19.411986263708137,-0.0,-0.0,-0.0,-0.0,796.6378972751814,-15.726694580713835,-23.36010193537652,-18.210516467320325,-16.744376864023977,-16.513424566300433,-11.921111330646594,96.63789727518144,96.63789727518144,96.63789727518144,-0.0,-0.0,-0.0,
n63,-17.409040936773422,-24.601993074118806,-19.382918694269176,-0.0,-0.0,-0.0,-0.0,797.5890951702236,-17.025964016053027,-25.133808326870533,-19.62013077925982,-16.49019275558322,-15.587738722336498,-11.037273698624679,97.58909517022359,97.58909517022359,97.58909517022359,-0.0,-0.0,-0.0,
n64,-17.775885775480127,-24.677487976129182,-19.23329996332622,-0.0,-0.0,-0.0,-0.0,797.7612303898222,-16.844677635761876,-25.57315030239999,-20.018544028850506,-16.294144414801952,-15.363683645113337,-10.813218621401518,97.76123038982223,97.76123038982223,97.76123038982223,-0.0,-0.0,-0.0,
n65,-17.75806218190263,-24.835593188242576,-19.391405175439616,-0.0,-0.0,-0.0,-0.0,797.7095782530549,-16.850841826991395,-25.541420627571963,-20.020355012881833,-16.309806921369468,-15.331688637230608,-10.781223613518788,97.7095782530549,97.7095782530549,97.7095782530549,-0.0,-0.0,-0.0,
n66,-18.148778595499657,-24.921327926571283,-19.464290612482742,-0.0,-0.0,-0.0,-0.0,797.9092881924305,-16.947958904336577,-25.863737305992306,-20.294694217445407,-16.263781007608987,-15.229153969099224,-10.678688945387405,97.90928819243047,97.90928819243047,97.90928819243047,-0.0,-0.0,-0.0,
